Input,Mean_Abs_Weight,Max_Abs_Weight,Std,Normalized_Importance,Status
131,0.052976,0.188675,0.065083,92.47,USED
132,0.050984,0.193615,0.064143,88.99,USED
133,0.050305,0.186090,0.062661,87.80,USED
134,0.052122,0.197924,0.067089,90.98,USED
135,0.048234,0.152571,0.059473,84.19,USED
136,0.049130,0.214522,0.061983,85.75,USED
137,0.049209,0.207632,0.061753,85.89,USED
138,0.046807,0.166404,0.059560,81.70,USED
139,0.052251,0.194287,0.064875,91.20,USED
140,0.051663,0.215701,0.063968,90.18,USED
141,0.050371,0.228630,0.063860,87.92,USED
142,0.047067,0.201194,0.059415,82.15,USED
143,0.050854,0.202471,0.063331,88.76,USED
144,0.046276,0.179806,0.059471,80.77,USED
145,0.047150,0.199717,0.060251,82.30,USED
146,0.052360,0.205138,0.063942,91.39,USED
147,0.048194,0.205090,0.060274,84.12,USED
148,0.049899,0.170665,0.060881,87.10,USED
149,0.049204,0.219516,0.061078,85.88,USED
150,0.051151,0.205767,0.062653,89.28,USED
151,0.046414,0.167333,0.059287,81.01,USED
152,0.047899,0.185327,0.061218,83.61,USED
153,0.055101,0.189457,0.068142,96.18,USED
154,0.046633,0.188440,0.059597,81.40,USED
155,0.047975,0.182435,0.059097,83.74,USED
156,0.049298,0.183872,0.060638,86.05,USED
157,0.051570,0.175752,0.064328,90.01,USED
158,0.050247,0.200890,0.063049,87.70,USED
159,0.050284,0.171331,0.063134,87.77,USED
160,0.047665,0.213323,0.061048,83.20,USED
161,0.049663,0.224803,0.062370,86.68,USED
162,0.049979,0.166112,0.061826,87.24,USED
163,0.047952,0.151686,0.060053,83.70,USED
164,0.048582,0.221649,0.061739,84.80,USED
165,0.049465,0.178990,0.062403,86.34,USED
166,0.048497,0.145555,0.059228,84.65,USED
167,0.048983,0.156774,0.060625,85.50,USED
168,0.049857,0.173152,0.062415,87.02,USED
169,0.048479,0.169097,0.060864,84.62,USED
170,0.049589,0.191962,0.061075,86.55,USED
171,0.048567,0.180513,0.060387,84.77,USED
172,0.047632,0.173250,0.061339,83.14,USED
173,0.054545,0.215848,0.067324,95.20,USED
174,0.051246,0.190030,0.064190,89.45,USED
175,0.045056,0.187586,0.057845,78.64,USED
176,0.050285,0.189080,0.063029,87.77,USED
177,0.049900,0.193753,0.061202,87.10,USED
178,0.048817,0.179291,0.060585,85.21,USED
179,0.048753,0.190809,0.061946,85.09,USED
180,0.047533,0.152065,0.058673,82.97,USED
181,0.052918,0.236912,0.065774,92.37,USED
182,0.049327,0.178267,0.061113,86.10,USED
183,0.048663,0.187259,0.061715,84.94,USED
184,0.049681,0.172671,0.061908,86.72,USED
185,0.048030,0.181992,0.060229,83.83,USED
186,0.053292,0.193551,0.065817,93.02,USED
187,0.055734,0.202859,0.068349,97.28,USED
188,0.048289,0.156254,0.061312,84.29,USED
189,0.049306,0.170890,0.061044,86.06,USED
190,0.051363,0.184476,0.063013,89.65,USED
191,0.048437,0.200332,0.061207,84.54,USED
192,0.048443,0.219567,0.061500,84.55,USED
193,0.049183,0.211413,0.062051,85.85,USED
194,0.044976,0.178135,0.056102,78.50,USED
195,0.048810,0.211244,0.061036,85.20,USED
196,0.052883,0.187712,0.063782,92.30,USED
197,0.048259,0.185384,0.059945,84.23,USED
198,0.046889,0.175150,0.058361,81.84,USED
199,0.048796,0.182377,0.061502,85.17,USED
200,0.050445,0.172122,0.063224,88.05,USED
201,0.048546,0.173996,0.061404,84.74,USED
202,0.049497,0.189725,0.062821,86.39,USED
203,0.051994,0.202231,0.064755,90.75,USED
204,0.048611,0.185351,0.061361,84.85,USED
205,0.053562,0.158797,0.065263,93.49,USED
206,0.048536,0.184024,0.059236,84.72,USED
207,0.050851,0.197463,0.065189,88.76,USED
208,0.049578,0.194646,0.062317,86.53,USED
209,0.053720,0.212125,0.066134,93.76,USED
210,0.050071,0.172442,0.062301,87.40,USED
211,0.049913,0.157988,0.060746,87.12,USED
212,0.053103,0.233966,0.066916,92.69,USED
213,0.050962,0.192067,0.063964,88.95,USED
214,0.049206,0.177023,0.062179,85.89,USED
